Metric,Value
Box Precision,0.748699725372837
Box Recall,0.4871105654437375
Box mAP@50,0.5368001287620398
Box mAP@50-95,0.4925674533199925
Mask Precision,0.7507813615070813
Mask Recall,0.4882760806603787
Mask mAP@50,0.5377666739353207
Mask mAP@50-95,0.4872953735187789
