class_id,class_name,precision,recall,mask_AP50,mask_AP50_95
89,meatveg-beef-onion,0.5059765671500989,1.0,0.995,0.9949999999999999
118,meatveg-egg-carrot-chili-onion,0.5958636095763832,1.0,0.995,0.9949999999999999
140,meatveg-fishmeat-carrot-peas-corn,0.9777166167877409,1.0,0.995,0.9949999999999999
280,vegetarian-chinesecabbage-vermicelli,0.9016071496968973,1.0,0.995,0.9949999999999999
293,vegetarian-lentils,0.7139615559709658,1.0,0.995,0.9949999999999999
172,meatveg-pork-celery,0.9905225643949574,0.9734513274336283,0.9920039580106694,0.9920039580106697
67,meatonly-egg-steamed,0.9267992838215995,0.9807692307692307,0.9925193023204703,0.9916804827253877
316,vegetarian-spongegourd,0.9776638730897672,1.0,0.995,0.9897605003889034
308,vegetarian-sauerkraut,0.9635059201957263,0.96875,0.9925377517352895,0.9863869264879856
61,meatonly-duckleg,0.9667242296220085,0.987601718998167,0.9884949407853078,0.9856165838787889
342,vegetarian-zucchini,0.9674673714554679,0.9603174603174603,0.989265360014537,0.9855247763154724
250,staple-ricecake,0.9703869050294713,1.0,0.995,0.9852756410256411
243,staple-bread,0.9727429892655319,0.9615384615384616,0.9901612903225806,0.9811297559966915
240,soup-egg-seaweed,0.9512478147463211,0.9657142857142857,0.9878619261459377,0.9797219071750044
31,fruit-salad,0.9431316289574188,1.0,0.995,0.9787638189677091
82,meatonly-squid,0.9293523199769869,1.0,0.995,0.9777727272727272
321,vegetarian-tofu,0.938958623973704,0.98125,0.9909410418512667,0.9765758259411866
279,vegetarian-chinesecabbage-tofu,0.8930626304659618,0.9727272727272728,0.9833510304843349,0.9735240734692769
245,staple-dumplings,0.972349228845062,1.0,0.995,0.9731428267169339
98,meatveg-chicken-carrot,0.9035564786815002,0.9770114942528736,0.9784413847624177,0.9723723680217287
285,vegetarian-eggplant,0.9472882573685403,0.9653846153846154,0.9772227585579533,0.9723223954686663
338,vegetarian-yardlongbean,0.9650161844743322,0.9805194805194806,0.9860517906692216,0.9722210753423146
257,vegetarian-beansprouts,0.9332810505298313,0.9821428571428571,0.9885975831579025,0.96796388558038
76,meatonly-porkliver,0.9101376153176767,0.9070361565541453,0.9634811177833209,0.9634811177833209
251,staple-steamedbun,0.9540913674708871,0.949468085106383,0.974911051466221,0.9609496100238412
49,meatonly-bloodcurd,0.971066121384492,0.9722222222222222,0.9699056603773585,0.9604411497674581
242,soup-other,0.9239711366728123,0.9707792207792207,0.9869075857019065,0.9590235801231763
313,vegetarian-shreddedpotato,0.9358249110866261,0.9595959595959596,0.9701991244688978,0.9548391728459501
8,bread,0.9751615964328145,0.9696969696969697,0.965,0.9500937500000001
246,staple-flatbread,0.9598582746628135,0.9465408805031447,0.9662427147099405,0.9500022634840846
311,vegetarian-shiitakemushroom,0.8960014524706523,0.9516129032258065,0.9753209205820049,0.9488250863394351
60,meatonly-duck,0.9574299490610054,0.9262295081967213,0.9628328765403986,0.9426591621960076
70,meatonly-meatballs,0.8987599689964711,0.9405940594059405,0.9569427762325404,0.9356132635442295
302,vegetarian-potato,0.9254580937160026,0.9360902255639098,0.9672490419161015,0.9353980209778614
260,vegetarian-cabbage,0.8628908762315206,0.9388888888888889,0.9520318727736085,0.9316719643070641
332,vegetarian-tomato,0.9441815585727676,0.98,0.9819177629778306,0.9309659206552929
107,meatveg-chicken-chili,0.9238284219387839,0.914572864321608,0.951728602014419,0.9298995248184816
323,vegetarian-tofu-celery,0.931668011691384,0.9166666666666666,0.935909090909091,0.9296363636363637
27,fruit-apple,0.9667486968012597,0.9219858156028369,0.949189590876523,0.925303543263008
306,vegetarian-radish,0.9371628770792311,0.9642857142857143,0.9432142857142854,0.9252487012987011
69,meatonly-frankfurter,0.927383170365715,0.9254545952345936,0.9479223901562732,0.9248722396339218
80,meatonly-spareribs-braised,0.9628505056582548,0.9090909090909091,0.9533406593406594,0.9237595390720392
206,meatveg-pork-woodearmushroom,0.9162125910485176,0.9090909090909091,0.9339192715408764,0.923747734983021
282,vegetarian-corn,0.9738449276428917,0.9854014598540146,0.992431693989071,0.9237329628591816
66,meatonly-egg-shrimp,0.5527765617576889,1.0,0.995,0.9235833333333334
300,vegetarian-peanut,0.9691314895905316,0.9577464788732394,0.9550000000000001,0.9234642990108617
318,vegetarian-sweetpotato,0.9082298122843203,0.9629629629629629,0.9305555555555556,0.9234074074074075
72,meatonly-pork,0.8989629416414936,0.9095122719994483,0.9457788819226572,0.9229567079300942
