epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,17954.1,0.4816,0.60336,0.59929,0.00405,0.03335,0.73355,0.50396,0.53883,0.49304,0.73319,0.5034,0.53909,0.49086,0.34087,0.53129,0.48636,0.00471,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,19819.7,0.47434,0.59066,0.58038,0.00399,0.03218,0.72132,0.49706,0.53376,0.48885,0.71856,0.49763,0.53598,0.48813,0.34081,0.52885,0.48487,0.00471,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,21690.1,0.46949,0.59219,0.57774,0.00394,0.03197,0.76514,0.49696,0.53923,0.49437,0.76488,0.49673,0.54015,0.49279,0.34044,0.52577,0.47644,0.00471,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,23563.6,0.46948,0.59268,0.57037,0.00392,0.0316,0.74696,0.50441,0.54843,0.50373,0.75143,0.50412,0.54959,0.50111,0.33897,0.52371,0.47423,0.0047,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,25437.4,0.46574,0.58327,0.56314,0.00391,0.03131,0.73208,0.5072,0.54112,0.49739,0.74047,0.50718,0.54168,0.49467,0.3348,0.52182,0.47385,0.0046,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,27311,0.45672,0.57765,0.5488,0.00379,0.03077,0.72536,0.5107,0.54194,0.49783,0.73248,0.50723,0.54314,0.4941,0.33607,0.52025,0.46869,0.00464,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,29398.8,0.45747,0.58692,0.55435,0.0038,0.03096,0.76459,0.50097,0.54433,0.49904,0.76452,0.50075,0.54605,0.49646,0.33392,0.51855,0.46266,0.0046,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,2677.25,0.44742,0.56897,0.53015,0.00369,0.02999,0.71657,0.52407,0.54914,0.50348,0.71633,0.52366,0.5501,0.50071,0.33315,0.51768,0.46087,0.00459,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,4890.11,0.44098,0.56345,0.52465,0.00367,0.02967,0.71811,0.52388,0.55104,0.50767,0.72339,0.52228,0.54931,0.50396,0.33174,0.51552,0.46228,0.00458,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,6959.37,0.44005,0.56306,0.52157,0.00364,0.02932,0.72735,0.52089,0.55058,0.50634,0.7263,0.52069,0.54982,0.50391,0.33125,0.51671,0.46116,0.00457,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
